UTC,NO,NO2,NOx
20-Jul-2022 06:00:00,0.602409482803555,6.76935822649573,7.37176770929928
20-Jul-2022 06:15:00,0.589388637248,17.0204817521367,17.6098703893847
20-Jul-2022 06:30:00,0.942039230724101,15.0378410507091,15.9798802814332
20-Jul-2022 06:45:00,-0.257688916640889,4.63434452991453,4.63434452991453
20-Jul-2022 07:00:00,-0.315378439418667,1.84359441239316,1.84359441239316
20-Jul-2022 07:15:00,-0.054961801640889,2.84624032051282,2.84624032051282
20-Jul-2022 07:30:00,-0.20255748212506,2.86464547700902,2.86464547700902
20-Jul-2022 07:45:00,-0.149634070529778,1.38157056623931,1.38157056623931
20-Jul-2022 08:00:00,-0.179111817752,0.531599412393162,0.531599412393162
20-Jul-2022 08:15:00,-0.250658183242378,0.354693833261708,0.354693833261708
20-Jul-2022 08:30:00,-0.336808531085333,-0.661107638888895,0
20-Jul-2022 08:45:00,-0.152889324974222,-1.07270360042735,0
20-Jul-2022 09:00:00,-0.217179648307556,-1.42691616452992,0
20-Jul-2022 09:15:00,-0.0996274463708702,-0.822294262999573,0
20-Jul-2022 09:30:00,-0.118167097196444,-1.15373597222222,0
20-Jul-2022 09:45:00,-0.241322396085333,0.601329027777779,0.601329027777779
20-Jul-2022 10:00:00,-0.170973798307556,6.37028200854701,6.37028200854701
20-Jul-2022 10:15:00,0.131328655305107,5.77870051568543,5.91002917099054
20-Jul-2022 10:30:00,0.469126773359111,2.56123576923077,3.03036254258988
20-Jul-2022 10:45:00,0.409538380581333,3.42790022435897,3.83743860494031
20-Jul-2022 11:00:00,0.721630689941979,8.09455718736571,8.81618787730769
20-Jul-2022 11:15:00,0.169376299470222,0.644279658119658,0.813655957589881
20-Jul-2022 11:30:00,0.313057565025777,1.46138561965812,1.77444318468389
20-Jul-2022 11:45:00,0.156807578914667,0.699228717948719,0.856036296863386
20-Jul-2022 12:00:00,0.804829428489464,1.05203859045982,1.85686801894928
20-Jul-2022 12:15:00,5.02578551058133,5.23304551282052,10.2588310234019
20-Jul-2022 12:30:00,0.705219760581333,1.5495475534188,2.25476731400014
20-Jul-2022 12:45:00,1.44894449391467,2.56054033119658,4.00948482511124
20-Jul-2022 13:00:00,0.653707802791141,1.41155229909755,2.06526010188869
20-Jul-2022 13:15:00,0.981731677248,3.10168385683761,4.08341553408561
20-Jul-2022 13:30:00,0.789131871692444,-0.814825726495728,0.789131871692444
20-Jul-2022 13:45:00,1.10434451058133,-0.695537521367524,1.10434451058133
20-Jul-2022 14:00:00,0.98041064636656,0.202215030081651,1.18262567644821
20-Jul-2022 14:15:00,1.173608127248,-0.58216182692308,1.173608127248
20-Jul-2022 14:30:00,0.872772627247999,-0.0648409935897482,0.872772627247999
20-Jul-2022 14:45:00,0.951768534634716,0.680284518693594,1.63205305332831
20-Jul-2022 15:00:00,1.15308217169244,2.21928264957265,3.37236482126509
20-Jul-2022 15:15:00,0.648434541136889,-0.983846121794874,0.648434541136889
20-Jul-2022 15:30:00,0.866623893914667,-0.1862157991453,0.866623893914667
20-Jul-2022 15:45:00,1.36367055698109,1.15345762784701,2.51712818482809
20-Jul-2022 16:00:00,0.372465166136889,-2.62397041666667,0.372465166136889
20-Jul-2022 16:15:00,0.730447649470222,0.122090085470081,0.852537734940303
20-Jul-2022 16:30:00,0.798174116136889,-0.0925887820512851,0.798174116136889
20-Jul-2022 16:45:00,0.271629928489465,-3.32542631070048,0.271629928489465
20-Jul-2022 17:00:00,0.378433046692444,-3.55149607905983,0.378433046692444
20-Jul-2022 17:15:00,0.297595362248,-4.4651105982906,0.297595362248
20-Jul-2022 17:30:00,-0.0797143178792502,-4.2315549204985,0
20-Jul-2022 17:45:00,0.0208122194702221,-4.66786566239316,0.0208122194702221
20-Jul-2022 18:00:00,0.352300909470222,-2.94740448717949,0.352300909470222
20-Jul-2022 18:15:00,0.544448666136889,-2.27549602564103,0.544448666136889
20-Jul-2022 18:30:00,0.248625277651476,-3.29307709497207,0.248625277651476
20-Jul-2022 18:45:00,0.143605913359111,-3.63148518162393,0.143605913359111
20-Jul-2022 19:00:00,0.244607790025778,-3.72242932692308,0.244607790025778
20-Jul-2022 19:15:00,0.143153766136889,-3.68504307692308,0.143153766136889
20-Jul-2022 19:30:00,0.0712255463665597,-2.99887375376021,0.0712255463665597
20-Jul-2022 19:45:00,0.328429427247999,-2.92723325854701,0.328429427247999
20-Jul-2022 20:00:00,0.569947788359111,-2.31149104700855,0.569947788359111
20-Jul-2022 20:15:00,0.766707077248,-0.970282756410258,0.766707077248
20-Jul-2022 20:30:00,0.722630897763208,-1.07479304899012,0.722630897763208
20-Jul-2022 20:45:00,0.361614453914667,-1.65332005341881,0.361614453914667
20-Jul-2022 21:00:00,-0.0914923977520004,-2.80229385683761,0
20-Jul-2022 21:15:00,-0.201102627935116,-4.04218062956597,0
20-Jul-2022 21:30:00,0.307813060581333,-1.04975006410257,0.307813060581333
20-Jul-2022 21:45:00,-0.114098061640889,-3.49193898504274,0
20-Jul-2022 22:00:00,0.117654706692444,-2.18959480929487,0.117654706692444
20-Jul-2022 22:15:00,-0.00497182402450155,-1.1936984744306,0
20-Jul-2022 22:30:00,0.108160319470222,-1.02888342948718,0.108160319470222
20-Jul-2022 22:45:00,-0.0836256916408894,-2.77734071581197,0
20-Jul-2022 23:00:00,-0.0848916133075559,-1.7148769017094,0
20-Jul-2022 23:15:00,-0.0505265659239428,-2.29934326385905,0
20-Jul-2022 23:30:00,0.0827516161368887,-1.49629799145299,0.0827516161368887
20-Jul-2022 23:45:00,-0.163739978863111,-0.144656239316244,0
21-Jul-2022 00:00:00,0.0825915318414201,1.33496331113021,1.41755484297163
21-Jul-2022 00:15:00,0.341902357803556,-0.467047104700858,0.341902357803556
21-Jul-2022 00:30:00,0.547070924470222,2.96066,3.50773092447022
21-Jul-2022 00:45:00,0.0713583778035556,-1.13617319444445,0.0713583778035556
21-Jul-2022 01:00:00,0.00157500279114077,-1.13844244735711,0.00157500279114077
21-Jul-2022 01:15:00,0.0131263344702221,-0.959153846153848,0.0131263344702221
21-Jul-2022 01:30:00,0.105085948359111,0.459609188034186,0.564695136393297
21-Jul-2022 01:45:00,0.440914957803555,2.07573667735042,2.51665163515398
21-Jul-2022 02:00:00,0.0660426703889057,3.86817158358401,3.93421425397292
21-Jul-2022 02:15:00,-0.157410443307555,0.481693087606836,0.481693087606836
21-Jul-2022 02:30:00,-0.148187303863111,0.720617083333331,0.720617083333331
21-Jul-2022 02:45:00,-0.170369088270312,-1.05818146755479,0
21-Jul-2022 03:00:00,-0.136703671085333,-1.09983025641026,0
21-Jul-2022 03:15:00,-0.104603694974223,-1.43369790598291,0
21-Jul-2022 03:30:00,0.140079471692444,0.740788247863246,0.88086771955569
21-Jul-2022 03:45:00,-0.153092831845731,-0.697793317576281,0
21-Jul-2022 04:00:00,2.02068576113689,-0.499912026709402,2.02068576113689
21-Jul-2022 04:15:00,13.7967639494702,19.9025241773504,33.6992881268206
21-Jul-2022 04:30:00,1.516399627248,16.0103593482906,17.5267589755386
21-Jul-2022 04:45:00,0.113415963684996,6.43276778040396,6.54618374408895
21-Jul-2022 05:00:00,0.204912382803555,3.93487469017094,4.13978707297449
21-Jul-2022 05:15:00,7.03623851613689,18.7913710641026,25.8276095802395
21-Jul-2022 05:30:00,4.27536954391466,7.02097579059829,11.296345334513
21-Jul-2022 05:45:00,-0.0729856497228256,1.24106305328749,1.24106305328749
21-Jul-2022 06:00:00,-0.343409387752,1.18855330128205,1.18855330128205
21-Jul-2022 06:15:00,-0.277039316085333,0.70809705128205,0.70809705128205
21-Jul-2022 06:30:00,-0.094899229052435,0.598449623979371,0.598449623979371
21-Jul-2022 06:45:00,0.308265237248,3.39242697649572,3.70069221374372
21-Jul-2022 07:00:00,-0.0943859794186666,-0.395056826923079,0
21-Jul-2022 07:15:00,-0.203977931640889,-3.12894491452992,0
21-Jul-2022 07:30:00,-0.166004634080367,-3.42806956381607,0
21-Jul-2022 07:45:00,-0.396668201085333,-3.31483270299146,0
21-Jul-2022 08:00:00,0.0864589489146667,-2.53824290598291,0.0864589489146667
21-Jul-2022 08:15:00,-0.266007779418667,-2.79733808760684,0
21-Jul-2022 08:30:00,-0.167641244694893,-1.75937314138376,0
21-Jul-2022 08:45:00,0.498694866136889,1.14890685897436,1.64760172511125
21-Jul-2022 09:00:00,0.277521580025777,2.07764952991453,2.35517110994031
21-Jul-2022 09:15:00,0.142876470388906,-2.2666443382037,0.142876470388906
21-Jul-2022 09:30:00,-0.051887437752,-2.89628100427351,0
21-Jul-2022 09:45:00,0.00661590502577768,1.53702764957265,1.54364355459843
21-Jul-2022 10:00:00,-0.076934393307556,-1.15790943376069,0
21-Jul-2022 10:15:00,0.0830461268134873,-0.882621132359263,0.0830461268134873
21-Jul-2022 10:30:00,0.524194013359111,5.4749256517094,5.99911966506851
21-Jul-2022 10:45:00,0.0124029994702218,0.733311431623932,0.745714431094154
21-Jul-2022 11:00:00,0.237826135581333,1.33166427350427,1.56949040908561
